Processus,Points,Pi,Erreur,Temps
1,12000000,3.142699,-0.0011063464102067933,21387.54
1,12000000,3.14096,0.0006326535897929197,20478.02
1,12000000,3.1412496666666665,0.00034298692312662027,20538.77
1,12000000,3.142476333333333,-0.0008836797435400889,21126.31
1,12000000,3.142532666666667,-0.0009400130768737469,21078.4
1,12000000,3.141193,0.0003996535897932141,20638.55
1,12000000,3.141808,-0.00021534641020704015,20566.12
1,12000000,3.1420916666666665,-0.0004990130768733891,21301.71
1,12000000,3.140981666666667,0.0006109869231263332,20971.69
1,12000000,3.1415873333333333,5.320256459828698e-06,20561.43
1,12000000,3.1418216666666665,-0.00022901307687339667,21259.05
1,12000000,3.141883,-0.00029034641020686536,20396.99
1,12000000,3.141896666666667,-0.00030401307687366597,21660.04
1,12000000,3.1416803333333334,-8.767974354029207e-05,20901.48
1,12000000,3.141155,0.0004376535897931966,21240.35
1,12000000,3.1415776666666666,1.4986923126514284e-05,21212.08
1,12000000,3.142098333333333,-0.0005056797435400995,22181.72
1,12000000,3.1414123333333333,0.00018032025645986494,20531.26
1,12000000,3.1416976666666665,-0.00010501307687338368,21388.59
1,12000000,3.1414876666666665,0.0001049869231266598,20714.67
1,12000000,3.1422456666666667,-0.0006530130768735987,20248.84
1,12000000,3.1420976666666665,-0.0005050130768733396,20984.78
1,12000000,3.1414743333333335,0.0001183202564596364,21118.82
1,12000000,3.141518666666667,7.398692312632349e-05,20820.42
1,12000000,3.142731,-0.0011383464102068253,20890.24
1,12000000,3.1413053333333334,0.00028732025645972215,20385.18
1,12000000,3.140678,0.0009146535897932573,20441.59
1,12000000,3.141793333333333,-0.00020067974354009976,20860.33
1,12000000,3.1411176666666667,0.0004749869231264192,20526.57
1,12000000,3.141397,0.00019565358979312109,20192.66
1,12000000,3.14195,-0.0003573464102069046,20804.81
1,12000000,3.141349,0.0002436535897931691,21812.28
1,12000000,3.141265,0.00032765358979292003,20708.83
1,12000000,3.1420886666666665,-0.0004960130768734139,20989.79
1,12000000,3.1410603333333333,0.0005323202564597729,20479.05
1,12000000,3.1415253333333335,6.732025645961315e-05,20777.62
1,12000000,3.1415616666666666,3.0986923126530286e-05,21175.32
1,12000000,3.142236666666667,-0.0006440130768736729,20889.38
1,12000000,3.141875333333333,-0.00028267974354001524,21238.97
1,12000000,3.141703,-0.00011034641020701841,22345.52
1,12000000,3.141605,-1.2346410207086933e-05,20726.79
1,12000000,3.1422733333333333,-0.0006806797435401357,20890.84
1,12000000,3.141010666666667,0.0005819869231262764,20713.94
1,12000000,3.1415706666666665,2.1986923126604552e-05,20885.48
1,12000000,3.1429513333333334,-0.0013586797435403142,20276.28
1,12000000,3.141100333333333,0.0004923202564599549,22193.19
1,12000000,3.141385,0.00020765358979302206,21557.97
1,12000000,3.1413206666666667,0.000271986923126466,20157.57
1,12000000,3.1414693333333332,0.0001233202564598912,21609.34
